word,times_added,times_removed,net_change,absolute_change,survival_fraction
unused,3,2,1,5,0.3333333333333333
kate,3,2,1,5,0.3333333333333333
syphilis,6,4,2,10,0.3333333333333333
struggles,3,2,1,5,0.3333333333333333
droughts,3,2,1,5,0.3333333333333333
symcox,3,2,1,5,0.3333333333333333
sebastopol,3,2,1,5,0.3333333333333333
treat,3,2,1,5,0.3333333333333333
legitimize,3,2,1,5,0.3333333333333333
nationalities,3,2,1,5,0.3333333333333333
received,3,2,1,5,0.3333333333333333
redefine,3,2,1,5,0.3333333333333333
newness,3,2,1,5,0.3333333333333333
mythologizing,3,2,1,5,0.3333333333333333
responsibility,3,2,1,5,0.3333333333333333
deal,3,2,1,5,0.3333333333333333
remember,3,2,1,5,0.3333333333333333
initiated,3,2,1,5,0.3333333333333333
raudzens,6,4,2,10,0.3333333333333333
contending,3,2,1,5,0.3333333333333333
starting,3,2,1,5,0.3333333333333333
ward,3,2,1,5,0.3333333333333333
ecumenical,3,2,1,5,0.3333333333333333
ambition,3,2,1,5,0.3333333333333333
clappersticks,3,2,1,5,0.3333333333333333
reliance,3,2,1,5,0.3333333333333333
weaponry,3,2,1,5,0.3333333333333333
avoid,3,2,1,5,0.3333333333333333
gill,3,2,1,5,0.3333333333333333
editor,3,2,1,5,0.3333333333333333
individualism,3,2,1,5,0.3333333333333333
criticisms,3,2,1,5,0.3333333333333333
shumlin,3,2,1,5,0.3333333333333333
arawaks,3,2,1,5,0.3333333333333333
norte,3,2,1,5,0.3333333333333333
andenes,3,2,1,5,0.3333333333333333
let,3,2,1,5,0.3333333333333333
primitivism,3,2,1,5,0.3333333333333333
exist,3,2,1,5,0.3333333333333333
amherst,3,2,1,5,0.3333333333333333
preceded,3,2,1,5,0.3333333333333333
developing,3,2,1,5,0.3333333333333333
determinism,3,2,1,5,0.3333333333333333
commenting,3,2,1,5,0.3333333333333333
11th,6,4,2,10,0.3333333333333333
northampton,3,2,1,5,0.3333333333333333
oppression,3,2,1,5,0.3333333333333333
expense,3,2,1,5,0.3333333333333333
glorification,3,2,1,5,0.3333333333333333
190,3,2,1,5,0.3333333333333333
55,3,2,1,5,0.3333333333333333
mysticism,3,2,1,5,0.3333333333333333
pointed,3,2,1,5,0.3333333333333333
pdf,6,4,2,10,0.3333333333333333
combine,3,2,1,5,0.3333333333333333
berliner,3,2,1,5,0.3333333333333333
benedict,3,2,1,5,0.3333333333333333
sitting,3,2,1,5,0.3333333333333333
yearly,3,2,1,5,0.3333333333333333
commemoration,3,2,1,5,0.3333333333333333
accessed,3,2,1,5,0.3333333333333333
basis,3,2,1,5,0.3333333333333333
revisionists,3,2,1,5,0.3333333333333333
path,3,2,1,5,0.3333333333333333
applies,3,2,1,5,0.3333333333333333
missoula,3,2,1,5,0.3333333333333333
ayn,3,2,1,5,0.3333333333333333
hispanist,3,2,1,5,0.3333333333333333
utah,3,2,1,5,0.3333333333333333
lack,3,2,1,5,0.3333333333333333
specified,3,2,1,5,0.3333333333333333
generations,3,2,1,5,0.3333333333333333
asserts,3,2,1,5,0.3333333333333333
geoffrey,3,2,1,5,0.3333333333333333
quincentennial,3,2,1,5,0.3333333333333333
gulf,3,2,1,5,0.3333333333333333
refrain,3,2,1,5,0.3333333333333333
asserted,3,2,1,5,0.3333333333333333
renamed,3,2,1,5,0.3333333333333333
occasion,3,2,1,5,0.3333333333333333
secondarily,3,2,1,5,0.3333333333333333
123,3,2,1,5,0.3333333333333333
populist,3,2,1,5,0.3333333333333333
sparsely,3,2,1,5,0.3333333333333333
running,3,2,1,5,0.3333333333333333
legislature,3,2,1,5,0.3333333333333333
labour,9,6,3,15,0.3333333333333333
correct,3,2,1,5,0.3333333333333333
eighteenth,3,2,1,5,0.3333333333333333
latest,3,2,1,5,0.3333333333333333
reconstructing,3,2,1,5,0.3333333333333333
productive,3,2,1,5,0.3333333333333333
yucatan,3,2,1,5,0.3333333333333333
quakers,3,2,1,5,0.3333333333333333
unm,3,2,1,5,0.3333333333333333
diminish,3,2,1,5,0.3333333333333333
collectivism,3,2,1,5,0.3333333333333333
reappraising,3,2,1,5,0.3333333333333333
rand,3,2,1,5,0.3333333333333333
argument,3,2,1,5,0.3333333333333333
executive,3,2,1,5,0.3333333333333333
expulsion,3,2,1,5,0.3333333333333333
attempting,3,2,1,5,0.3333333333333333
colonizer,10,7,3,17,0.3
html,7,5,2,12,0.2857142857142857
bringing,7,5,2,12,0.2857142857142857
discoverer,7,5,2,12,0.2857142857142857
descendents,7,5,2,12,0.2857142857142857
lake,11,8,3,19,0.2727272727272727
defined,8,6,2,14,0.25
postcolonial,4,3,1,7,0.25
strong,4,3,1,7,0.25
allowed,4,3,1,7,0.25
protest,4,3,1,7,0.25
cold,4,3,1,7,0.25
exclude,4,3,1,7,0.25
governing,4,3,1,7,0.25
guns,4,3,1,7,0.25
retained,4,3,1,7,0.25
outside,4,3,1,7,0.25
army,8,6,2,14,0.25
modernize,4,3,1,7,0.25
cristopher,4,3,1,7,0.25
views,4,3,1,7,0.25
03,4,3,1,7,0.25
activist,4,3,1,7,0.25
sixteenth,8,6,2,14,0.25
brill,4,3,1,7,0.25
phoenix,4,3,1,7,0.25
churchill,4,3,1,7,0.25
encomienda,4,3,1,7,0.25
richardson,4,3,1,7,0.25
gov,4,3,1,7,0.25
chance,4,3,1,7,0.25
neighbouring,4,3,1,7,0.25
additional,4,3,1,7,0.25
joined,4,3,1,7,0.25
competition,4,3,1,7,0.25
28,4,3,1,7,0.25
unrelated,4,3,1,7,0.25
alternative,4,3,1,7,0.25
hope,4,3,1,7,0.25
japan,4,3,1,7,0.25
routes,8,6,2,14,0.25
fur,4,3,1,7,0.25
powerful,4,3,1,7,0.25
trinity,4,3,1,7,0.25
arts,13,10,3,23,0.23076923076923078
king,9,7,2,16,0.2222222222222222
problematic,5,4,1,9,0.2
brown,5,4,1,9,0.2
believed,5,4,1,9,0.2
possessions,5,4,1,9,0.2
oaxaca,5,4,1,9,0.2
localities,5,4,1,9,0.2
definitions,5,4,1,9,0.2
establish,5,4,1,9,0.2
managed,5,4,1,9,0.2
freedom,5,4,1,9,0.2
greater,10,8,2,18,0.2
germs,5,4,1,9,0.2
future,5,4,1,9,0.2
dying,5,4,1,9,0.2
antilles,5,4,1,9,0.2
genoese,5,4,1,9,0.2
vikings,5,4,1,9,0.2
water,5,4,1,9,0.2
strains,5,4,1,9,0.2
reason,5,4,1,9,0.2
analysis,5,4,1,9,0.2
environmental,5,4,1,9,0.2
girl,5,4,1,9,0.2
underdeveloped,5,4,1,9,0.2
critical,5,4,1,9,0.2
1914,10,8,2,18,0.2
easier,5,4,1,9,0.2
accomplishments,5,4,1,9,0.2
sending,5,4,1,9,0.2
active,5,4,1,9,0.2
george,10,8,2,18,0.2
big,5,4,1,9,0.2
muslim,5,4,1,9,0.2
carried,5,4,1,9,0.2
similarly,5,4,1,9,0.2
offices,11,9,2,20,0.18181818181818182
saw,11,9,2,20,0.18181818181818182
commemorate,17,14,3,31,0.17647058823529413
project,6,5,1,11,0.16666666666666666
perspective,6,5,1,11,0.16666666666666666
body,6,5,1,11,0.16666666666666666
1905,6,5,1,11,0.16666666666666666
creating,6,5,1,11,0.16666666666666666
earth,6,5,1,11,0.16666666666666666
engraving,6,5,1,11,0.16666666666666666
does,6,5,1,11,0.16666666666666666
alhambra,6,5,1,11,0.16666666666666666
30,18,15,3,33,0.16666666666666666
shores,6,5,1,11,0.16666666666666666
cruz,6,5,1,11,0.16666666666666666
fixed,12,10,2,22,0.16666666666666666
michael,6,5,1,11,0.16666666666666666
frequently,6,5,1,11,0.16666666666666666
2016,12,10,2,22,0.16666666666666666
remained,6,5,1,11,0.16666666666666666
westward,6,5,1,11,0.16666666666666666
union,6,5,1,11,0.16666666666666666
star,6,5,1,11,0.16666666666666666
means,6,5,1,11,0.16666666666666666
zinn,6,5,1,11,0.16666666666666666
encouraged,6,5,1,11,0.16666666666666666
dismissal,6,5,1,11,0.16666666666666666
attempt,6,5,1,11,0.16666666666666666
expressed,7,6,1,13,0.14285714285714285
polynesian,7,6,1,13,0.14285714285714285
multiple,7,6,1,13,0.14285714285714285
scotland,7,6,1,13,0.14285714285714285
85,7,6,1,13,0.14285714285714285
cause,7,6,1,13,0.14285714285714285
codified,7,6,1,13,0.14285714285714285
ties,7,6,1,13,0.14285714285714285
change,14,12,2,26,0.14285714285714285
2009,14,12,2,26,0.14285714285714285
institute,7,6,1,13,0.14285714285714285
christian,7,6,1,13,0.14285714285714285
transatlantic,7,6,1,13,0.14285714285714285
mid,7,6,1,13,0.14285714285714285
45,7,6,1,13,0.14285714285714285
howard,7,6,1,13,0.14285714285714285
returned,7,6,1,13,0.14285714285714285
represented,7,6,1,13,0.14285714285714285
larger,7,6,1,13,0.14285714285714285
proposed,14,12,2,26,0.14285714285714285
technology,7,6,1,13,0.14285714285714285
retrieved,22,19,3,41,0.13636363636363635
river,15,13,2,28,0.13333333333333333
open,15,13,2,28,0.13333333333333333
myths,23,20,3,43,0.13043478260869565
achievement,8,7,1,15,0.125
conquests,8,7,1,15,0.125
mark,8,7,1,15,0.125
chinese,8,7,1,15,0.125
vermont,8,7,1,15,0.125
theories,8,7,1,15,0.125
jews,8,7,1,15,0.125
boston,8,7,1,15,0.125
case,8,7,1,15,0.125
dec,8,7,1,15,0.125
treatment,8,7,1,15,0.125
main,8,7,1,15,0.125
formed,8,7,1,15,0.125
dane,8,7,1,15,0.125
60,8,7,1,15,0.125
gender,8,7,1,15,0.125
peat,8,7,1,15,0.125
leader,8,7,1,15,0.125
conflicts,9,8,1,17,0.1111111111111111
currently,9,8,1,17,0.1111111111111111
schools,9,8,1,17,0.1111111111111111
respective,9,8,1,17,0.1111111111111111
díaz,9,8,1,17,0.1111111111111111
issued,9,8,1,17,0.1111111111111111
settlements,18,16,2,34,0.1111111111111111
smaller,9,8,1,17,0.1111111111111111
list,18,16,2,34,0.1111111111111111
hand,9,8,1,17,0.1111111111111111
faustino,9,8,1,17,0.1111111111111111
secular,9,8,1,17,0.1111111111111111
britain,9,8,1,17,0.1111111111111111
taking,9,8,1,17,0.1111111111111111
cia,28,25,3,53,0.10714285714285714
actions,19,17,2,36,0.10526315789473684
specifically,10,9,1,19,0.1
169,10,9,1,19,0.1
opportunity,10,9,1,19,0.1
library,10,9,1,19,0.1
factbook,30,27,3,57,0.1
argüelles,10,9,1,19,0.1
1994,10,9,1,19,0.1
churches,10,9,1,19,0.1
settled,11,10,1,21,0.09090909090909091
montana,11,10,1,21,0.09090909090909091
canadian,11,10,1,21,0.09090909090909091
newfoundland,11,10,1,21,0.09090909090909091
celebrating,11,10,1,21,0.09090909090909091
plains,11,10,1,21,0.09090909090909091
regarding,11,10,1,21,0.09090909090909091
origins,11,10,1,21,0.09090909090909091
rodríguez,11,10,1,21,0.09090909090909091
española,11,10,1,21,0.09090909090909091
taínos,11,10,1,21,0.09090909090909091
pueblos,11,10,1,21,0.09090909090909091
state,67,61,6,128,0.08955223880597014
federal,24,22,2,46,0.08333333333333333
health,24,22,2,46,0.08333333333333333
norse,24,22,2,46,0.08333333333333333
explorers,12,11,1,23,0.08333333333333333
beginning,12,11,1,23,0.08333333333333333
continent,12,11,1,23,0.08333333333333333
exploration,12,11,1,23,0.08333333333333333
evidence,37,34,3,71,0.08108108108108109
massachusetts,25,23,2,48,0.08
july,13,12,1,25,0.07692307692307693
lived,13,12,1,25,0.07692307692307693
victory,13,12,1,25,0.07692307692307693
naming,13,12,1,25,0.07692307692307693
served,13,12,1,25,0.07692307692307693
crown,27,25,2,52,0.07407407407407407
colorado,14,13,1,27,0.07142857142857142
usually,14,13,1,27,0.07142857142857142
genoa,14,13,1,27,0.07142857142857142
lady,14,13,1,27,0.07142857142857142
oregon,14,13,1,27,0.07142857142857142
pillar,14,13,1,27,0.07142857142857142
growth,14,13,1,27,0.07142857142857142
celebrates,42,39,3,81,0.07142857142857142
chávez,15,14,1,29,0.06666666666666667
tribe,15,14,1,29,0.06666666666666667
2017,15,14,1,29,0.06666666666666667
governor,31,29,2,60,0.06451612903225806
epidemic,16,15,1,31,0.0625
natural,16,15,1,31,0.0625
african,48,45,3,93,0.0625
set,16,15,1,31,0.0625
home,16,15,1,31,0.0625
times,16,15,1,31,0.0625
right,67,63,4,130,0.05970149253731343
related,17,16,1,33,0.058823529411764705
observances,17,16,1,33,0.058823529411764705
long,17,16,1,33,0.058823529411764705
charles,17,16,1,33,0.058823529411764705
1500,17,16,1,33,0.058823529411764705
hawaii,17,16,1,33,0.058823529411764705
eventually,18,17,1,35,0.05555555555555555
mtdna,18,17,1,35,0.05555555555555555
category,75,71,4,146,0.05333333333333334
france,19,18,1,37,0.05263157894736842
instead,19,18,1,37,0.05263157894736842
governments,19,18,1,37,0.05263157894736842
followed,19,18,1,37,0.05263157894736842
david,19,18,1,37,0.05263157894736842
2000,19,18,1,37,0.05263157894736842
laws,20,19,1,39,0.05
april,20,19,1,39,0.05
asia,20,19,1,39,0.05
servants,20,19,1,39,0.05
portugal,21,20,1,41,0.047619047619047616
decree,21,20,1,41,0.047619047619047616
group,43,41,2,84,0.046511627906976744
area,22,21,1,43,0.045454545454545456
small,22,21,1,43,0.045454545454545456
casas,23,22,1,45,0.043478260869565216
wrote,24,23,1,47,0.041666666666666664
self,24,23,1,47,0.041666666666666664
recognize,24,23,1,47,0.041666666666666664
council,24,23,1,47,0.041666666666666664
discovery,48,46,2,94,0.041666666666666664
brought,24,23,1,47,0.041666666666666664
movement,25,24,1,49,0.04
salvador,25,24,1,49,0.04
observance,52,50,2,102,0.038461538461538464
great,26,25,1,51,0.038461538461538464
especially,26,25,1,51,0.038461538461538464
fiesta,27,26,1,53,0.037037037037037035
communities,28,27,1,55,0.03571428571428571
pedro,28,27,1,55,0.03571428571428571
came,28,27,1,55,0.03571428571428571
development,30,29,1,59,0.03333333333333333
cultures,63,61,2,124,0.031746031746031744
historical,32,31,1,63,0.03125
second,33,32,1,65,0.030303030303030304
2005,34,33,1,67,0.029411764705882353
italy,34,33,1,67,0.029411764705882353
include,35,34,1,69,0.02857142857142857
non,36,35,1,71,0.027777777777777776
official,37,36,1,73,0.02702702702702703
legal,37,36,1,73,0.02702702702702703
alaska,38,37,1,75,0.02631578947368421
various,38,37,1,75,0.02631578947368421
led,40,39,1,79,0.025
organization,41,40,1,81,0.024390243902439025
changed,42,41,1,83,0.023809523809523808
territory,45,44,1,89,0.022222222222222223
trade,46,45,1,91,0.021739130434782608
1492,49,48,1,97,0.02040816326530612
national,102,100,2,202,0.0196078431372549
nations,55,54,1,109,0.01818181818181818
government,65,64,1,129,0.015384615384615385
used,78,77,1,155,0.01282051282051282
day,547,541,6,1088,0.010968921389396709
groups,118,117,1,235,0.00847457627118644
holiday,148,147,1,295,0.006756756756756757
hormos,1,1,0,2,0.0
7th,2,2,0,4,0.0
berbice,2,2,0,4,0.0
ford,2,2,0,4,0.0
heartland,2,2,0,4,0.0
incentivized,2,2,0,4,0.0
mocoví,2,2,0,4,0.0
633,2,2,0,4,0.0
grassroots,2,2,0,4,0.0
paternal,2,2,0,4,0.0
cosmopolitan,2,2,0,4,0.0
affirm,2,2,0,4,0.0
454,2,2,0,4,0.0
dilemma,2,2,0,4,0.0
1679,2,2,0,4,0.0
ref13,2,2,0,4,0.0
nativesbuying,2,2,0,4,0.0
unequal,2,2,0,4,0.0
sumos,2,2,0,4,0.0
ref12,2,2,0,4,0.0
measures,2,2,0,4,0.0
drawn,1,1,0,2,0.0
yale,1,1,0,2,0.0
virulence,1,1,0,2,0.0
necessary,2,2,0,4,0.0
portuese,1,1,0,2,0.0
bosnia,1,1,0,2,0.0
behaviors,2,2,0,4,0.0
marcelo,2,2,0,4,0.0
ketchi,2,2,0,4,0.0
cherkessia,1,1,0,2,0.0
mannerisms,1,1,0,2,0.0
recensement,1,1,0,2,0.0
abdalá,2,2,0,4,0.0
unable,1,1,0,2,0.0
tremendously,1,1,0,2,0.0
afrikaans,1,1,0,2,0.0
difference,2,2,0,4,0.0
bra,1,1,0,2,0.0
wane,2,2,0,4,0.0
grande,2,2,0,4,0.0
rain,2,2,0,4,0.0
chose,2,2,0,4,0.0
1770s,2,2,0,4,0.0
ceramic,2,2,0,4,0.0
overcoming,2,2,0,4,0.0
ancel,2,2,0,4,0.0
princess,2,2,0,4,0.0
conamaq,2,2,0,4,0.0
reclassifying,2,2,0,4,0.0
autonomía,2,2,0,4,0.0
procession,2,2,0,4,0.0
1910,2,2,0,4,0.0
huichol,2,2,0,4,0.0
pascua,2,2,0,4,0.0
ta,2,2,0,4,0.0
descriptors,2,2,0,4,0.0
enrich,2,2,0,4,0.0
reconsider,2,2,0,4,0.0
185,2,2,0,4,0.0
questioned,2,2,0,4,0.0
boca,2,2,0,4,0.0
democratically,2,2,0,4,0.0
884,2,2,0,4,0.0
namibia,2,2,0,4,0.0
mendicants,2,2,0,4,0.0
kuana,2,2,0,4,0.0
tonga,2,2,0,4,0.0
beringian,2,2,0,4,0.0
promoted,2,2,0,4,0.0
antiquity,2,2,0,4,0.0
zimbabwe,2,2,0,4,0.0
extract,2,2,0,4,0.0
aborigine,2,2,0,4,0.0
deglaciation,2,2,0,4,0.0
terraces,2,2,0,4,0.0
prescribed,2,2,0,4,0.0
rattles,2,2,0,4,0.0
signed,2,2,0,4,0.0
1500s,2,2,0,4,0.0
1745,2,2,0,4,0.0
bonilla,2,2,0,4,0.0
latinized,2,2,0,4,0.0
array,2,2,0,4,0.0
disappointed,2,2,0,4,0.0
afforded,2,2,0,4,0.0
scientists,2,2,0,4,0.0
guzmán,2,2,0,4,0.0
shorter,2,2,0,4,0.0
bbc,2,2,0,4,0.0
introduce,2,2,0,4,0.0
bois,2,2,0,4,0.0
prairie,2,2,0,4,0.0
understories,2,2,0,4,0.0
tongues,2,2,0,4,0.0
constituting,2,2,0,4,0.0
1300,2,2,0,4,0.0
alvarado,2,2,0,4,0.0
cuenca,2,2,0,4,0.0
extracted,2,2,0,4,0.0
diaguitas,2,2,0,4,0.0
strawberries,2,2,0,4,0.0
equity,2,2,0,4,0.0
similarities,2,2,0,4,0.0
paprika,2,2,0,4,0.0
reinforce,2,2,0,4,0.0
untreated,2,2,0,4,0.0
457,2,2,0,4,0.0
older,2,2,0,4,0.0
jürgen,2,2,0,4,0.0
trickster,2,2,0,4,0.0
mo,2,2,0,4,0.0
roadside,2,2,0,4,0.0
bell,2,2,0,4,0.0
publishers,2,2,0,4,0.0
attributes,2,2,0,4,0.0
dismisses,2,2,0,4,0.0
rape,2,2,0,4,0.0
permanently,1,1,0,2,0.0
conchucos,2,2,0,4,0.0
produces,2,2,0,4,0.0
ye,2,2,0,4,0.0
help,2,2,0,4,0.0
1574,2,2,0,4,0.0
snail,2,2,0,4,0.0
forestry,2,2,0,4,0.0
flu,2,2,0,4,0.0
anatomy,2,2,0,4,0.0
translations,2,2,0,4,0.0
87,2,2,0,4,0.0
dyke,2,2,0,4,0.0
paintings,2,2,0,4,0.0
salascan,2,2,0,4,0.0
nearby,2,2,0,4,0.0
pied,2,2,0,4,0.0
presented,2,2,0,4,0.0
ruler,2,2,0,4,0.0
equivalents,2,2,0,4,0.0
trails,2,2,0,4,0.0
soyots,2,2,0,4,0.0
symbols,2,2,0,4,0.0
ouster,2,2,0,4,0.0
episodes,2,2,0,4,0.0
frantz,2,2,0,4,0.0
1543,2,2,0,4,0.0
javier,2,2,0,4,0.0
factor,2,2,0,4,0.0
extremely,1,1,0,2,0.0
flourished,2,2,0,4,0.0
understood,2,2,0,4,0.0
compare,2,2,0,4,0.0
gerais,2,2,0,4,0.0
1930,2,2,0,4,0.0
pronounced,2,2,0,4,0.0
depopulated,2,2,0,4,0.0
purépecha,2,2,0,4,0.0
kickapoo,2,2,0,4,0.0
ket,2,2,0,4,0.0
martinique,2,2,0,4,0.0
legends,2,2,0,4,0.0
hallmarks,2,2,0,4,0.0
longstanding,2,2,0,4,0.0
database,2,2,0,4,0.0
coloured,2,2,0,4,0.0
secoya,2,2,0,4,0.0
promoting,2,2,0,4,0.0
mafatsheng,2,2,0,4,0.0
buret,2,2,0,4,0.0
escaped,2,2,0,4,0.0
rooted,2,2,0,4,0.0
manner,2,2,0,4,0.0
boruca,2,2,0,4,0.0
paleoindians,2,2,0,4,0.0
arguably,2,2,0,4,0.0
1986,2,2,0,4,0.0
crafted,2,2,0,4,0.0
plenglish,2,2,0,4,0.0
inadvertently,2,2,0,4,0.0
achievements,2,2,0,4,0.0
billion,2,2,0,4,0.0
gaskins,2,2,0,4,0.0
chibcha,2,2,0,4,0.0
tlisa,2,2,0,4,0.0
pánfilo,2,2,0,4,0.0
partner,2,2,0,4,0.0
mythology,2,2,0,4,0.0
lowland,2,2,0,4,0.0
teotihuacano,2,2,0,4,0.0
dialects,2,2,0,4,0.0
118,2,2,0,4,0.0
matagalpa,2,2,0,4,0.0
istanbul,2,2,0,4,0.0
coordinator,2,2,0,4,0.0
vespucci,2,2,0,4,0.0
manage,2,2,0,4,0.0
800,2,2,0,4,0.0
1617,2,2,0,4,0.0
sun,2,2,0,4,0.0
region16,2,2,0,4,0.0
cooperation,2,2,0,4,0.0
debatable,2,2,0,4,0.0
causing,2,2,0,4,0.0
arrivals,2,2,0,4,0.0
graf,2,2,0,4,0.0
1501,2,2,0,4,0.0
iroquois,2,2,0,4,0.0
television,2,2,0,4,0.0
berry,2,2,0,4,0.0
peer,2,2,0,4,0.0
servant,2,2,0,4,0.0
massacres,2,2,0,4,0.0
